Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
Dorian Finney-Smith,"$4,764,666","$4,734,096","$4,734,096","$4,734,096"
JaVale McGee,"$4,764,666","$4,970,801","$4,970,801","$4,970,801"
Reggie Bullock,"$4,764,666","$4,970,801","$4,970,801","$4,970,801"
Patrick McCaw,"$4,764,666","$4,734,096","$4,734,096","$4,734,096"
Shai Gilgeous-Alexander,"$4,708,586","$4,901,352","$4,901,352","$4,901,352"
PJ Washington,"$4,564,360","$4,762,028","$4,762,028","$4,762,028"
Luke Kennard,"$4,558,785","$6,241,700","$6,241,700","$6,241,700"
Miles Bridges,"$4,473,307","$4,656,363","$4,656,363","$4,656,363"
Jakob Poeltl,"$4,472,693","$9,588,738","$9,588,738","$9,588,738"
Tyler Herro,"$4,336,084","$4,523,713","$4,523,713","$4,523,713"
Donovan Mitchell,"$4,330,796","$6,149,001","$6,149,001","$6,149,001"
Stanley Johnson,"$4,315,596","$4,502,303","$4,502,303","$4,502,303"
Jake Layman,"$4,266,742","$4,451,335","$4,451,335","$4,451,335"
Thon Maker,"$4,252,039","$2,055,953","$2,055,953","$2,055,953"
Jerome Robinson,"$4,249,749","$4,423,445","$4,423,445","$4,423,445"
Danuel House,"$4,216,729","$4,399,159","$4,399,159","$4,399,159"
Domantas Sabonis,"$4,204,287","$23,433,780","$23,433,780","$23,433,780"
Boban Marjanovic,"$4,169,083","$4,142,334","$4,142,334","$4,142,334"
TJ McConnell,"$4,169,083","$4,142,334","$4,142,334","$4,142,334"
DeMarcus Cousins,"$4,169,083","$3,611,916","$3,611,916","$3,611,916"
Taurean Prince,"$4,147,624","$14,498,172","$14,498,172","$14,498,172"
Dario Saric,"$4,147,624","$10,947,599","$10,947,599","$10,947,599"
Romeo Langford,"$4,119,530","$4,297,613","$4,297,613","$4,297,613"
Bam Adebayo,"$4,114,384","$6,054,308","$6,054,308","$6,054,308"
Michael Porter,"$4,037,340","$4,202,457","$4,202,457","$4,202,457"
Denzel Valentine,"$4,023,246","$5,494,866","$5,494,866","$5,494,866"
Juan Hernangomez,"$3,955,898","$7,684,622","$7,684,622","$7,684,622"
Sekou Doumbouya,"$3,913,125","$4,082,448","$4,082,448","$4,082,448"
Justin Jackson,"$3,908,122","$6,047,378","$6,047,378","$6,047,378"
Troy Brown,"$3,834,937","$3,991,837","$3,991,837","$3,991,837"
Yogi Ferrell,"$3,752,174","$525,661","$525,661","$525,661"
Zhaire Smith,"$3,643,540","$1,264,240","$1,264,240","$1,264,240"
Ryan Arcidiacono,"$3,573,499","$3,550,572","$3,550,572","$3,550,572"
Quinn Cook,"$3,573,499","$2,345,329","$2,345,329","$2,345,329"
Khem Birch,"$3,573,499","$3,564,181","$3,564,181","$3,564,181"
Nickeil Alexander-Walker,"$3,531,618","$3,684,500","$3,684,500","$3,684,500"
DJ Wilson,"$3,527,187","$5,382,999","$5,382,999","$5,382,999"
Cedi Osman,"$3,462,891","$10,463,040","$10,463,040","$10,463,040"
Donte DiVincenzo,"$3,461,292","$3,602,837","$3,602,837","$3,602,837"
Bryn Forbes,"$3,424,604","$2,766,067","$2,766,067","$2,766,067"
Goga Bitadze,"$3,355,230","$3,500,296","$3,500,296","$3,500,296"
TJ Leaf,"$3,351,085","$5,244,696","$5,244,696","$5,244,696"
Lonnie Walker,"$3,292,622","$3,427,154","$3,427,154","$3,427,154"
Alex Caruso,"$3,275,708","$3,254,691","$3,254,691","$3,254,691"
Malik Beasley,"$3,253,925","$15,889,872","$15,889,872","$15,889,872"
Luka Samanic,"$3,204,143","$3,342,651","$3,342,651","$3,342,651"
John Collins,"$3,200,140","$4,896,597","$4,896,597","$4,896,597"
Kevin Huerter,"$3,140,248","$3,268,799","$3,268,799","$3,268,799"
Caris LeVert,"$3,127,666","$19,177,476","$19,177,476","$19,177,476"
Marko Guduric,"$3,126,812","$3,254,691","$3,254,691","$3,254,691"
DeAndre Bembry,"$3,101,775","$2,055,953","$2,055,953","$2,055,953"
Matisse Thybulle,"$3,075,782","$3,208,865","$3,208,865","$3,208,865"
Harry Giles,"$3,071,780","$1,917,976","$1,917,976","$1,917,976"
Jose Juan Barea,"$3,055,048","$3,035,447","$3,035,447","$3,035,447"
Dwight Howard,"$3,055,048","$3,035,447","$3,035,447","$3,035,447"
Rajon Rondo,"$3,055,048","$8,876,431","$8,876,431","$8,876,431"
Jared Dudley,"$3,055,048","$3,035,447","$3,035,447","$3,035,447"
Udonis Haslem,"$3,055,048","$3,035,447","$3,035,447","$3,035,447"
Wesley Matthews,"$3,055,048","$4,287,908","$4,287,908","$4,287,908"
Josh Okogie,"$3,014,461","$3,137,570","$3,137,570","$3,137,570"
Vincent Poirier,"$2,984,817","$3,099,894","$3,099,894","$3,099,894"
Rondae Hollis-Jefferson,"$2,977,916","$595,261","$595,261","$595,261"
Brandon Clarke,"$2,952,711","$3,080,618","$3,080,618","$3,080,618"
Terrance Ferguson,"$2,949,138","$4,667,835","$4,667,835","$4,667,835"
Grayson Allen,"$2,893,820","$3,012,447","$3,012,447","$3,012,447"
Alfonzo McKinnie,"$2,849,252","$2,086,311","$2,086,311","$2,086,311"
